epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0244,2.29606,2.74297,1.80582,0.00651,0.98425,0.825,0.30444,1.86378,3.08805,1.46103,0.00028,0.00028,0.00028
2,103.621,1.88952,1.90075,1.51544,0.95244,0.47305,0.91042,0.34751,1.7874,2.90103,1.52139,0.000574258,0.000574258,0.000574258
3,151.897,1.92947,1.65566,1.54622,0.95327,0.16071,0.81886,0.30123,1.78734,2.8414,1.50845,0.000862576,0.000862576,0.000862576
4,197.716,1.93297,1.8635,1.60198,0.84715,0.65462,0.86407,0.30967,1.89086,2.47646,1.63738,0.00114495,0.00114495,0.00114495
5,245.934,1.92544,1.64997,1.64871,0.74473,0.8959,0.86879,0.31893,1.91905,2.07334,1.6819,0.00142139,0.00142139,0.00142139
6,291.076,1.99278,1.59772,1.64314,0.73586,0.76779,0.75084,0.26047,1.97149,2.14676,1.66148,0.00169189,0.00169189,0.00169189
7,326.281,1.77453,1.84074,1.46375,0.78658,0.82677,0.79863,0.26337,2.10229,1.87129,1.87065,0.0018812,0.0018812,0.0018812
8,360.832,2.00309,1.58191,1.73084,0.90524,0.90267,0.93336,0.36097,1.9828,1.70999,1.77936,0.0018614,0.0018614,0.0018614
9,394.145,1.85097,1.38785,1.53893,0.91738,0.93701,0.92716,0.36983,1.9511,1.93855,1.82344,0.0018416,0.0018416,0.0018416
10,426.503,1.9147,1.40197,1.60967,0.83664,0.91339,0.88337,0.35485,2.00709,1.57741,1.88512,0.0018218,0.0018218,0.0018218
11,458.998,1.93772,1.48798,1.60172,0.89514,0.94488,0.91961,0.33909,1.92654,1.78318,1.73168,0.001802,0.001802,0.001802
12,491.417,1.84472,1.44564,1.54852,0.86301,0.89764,0.94123,0.36567,1.91991,1.39172,1.67843,0.0017822,0.0017822,0.0017822
13,523.685,1.92199,1.29133,1.61108,0.9131,0.91008,0.93256,0.36222,1.97753,1.38168,1.74066,0.0017624,0.0017624,0.0017624
14,556.026,1.89255,1.35124,1.581,0.93782,0.95004,0.9329,0.37833,1.85996,1.4441,1.66479,0.0017426,0.0017426,0.0017426
15,588.442,1.82872,1.28888,1.54807,0.85893,0.92913,0.90946,0.34004,1.9608,1.46119,1.74135,0.0017228,0.0017228,0.0017228
16,620.606,1.89737,1.25884,1.54447,0.89835,0.89764,0.92394,0.38324,1.9337,1.23109,1.67264,0.001703,0.001703,0.001703
17,652.8,1.9122,1.25718,1.57604,0.85863,0.92126,0.92371,0.36597,1.92661,1.29987,1.63297,0.0016832,0.0016832,0.0016832
18,685.276,1.86219,1.2538,1.55644,0.91303,0.96063,0.93659,0.39067,1.86678,1.23706,1.60966,0.0016634,0.0016634,0.0016634
19,727.171,1.83185,1.21403,1.49927,0.92277,0.94081,0.94392,0.3868,1.92132,1.2264,1.65379,0.0016436,0.0016436,0.0016436
20,775.972,1.83108,1.19175,1.53548,0.93734,0.94232,0.94686,0.38592,1.93021,1.10235,1.64498,0.0016238,0.0016238,0.0016238
21,815.003,1.79587,1.18604,1.50455,0.89982,0.92913,0.92315,0.3802,1.86411,1.16453,1.60472,0.001604,0.001604,0.001604
22,847.224,1.82484,1.15921,1.51958,0.93018,0.94411,0.94043,0.36793,1.94696,1.17756,1.73681,0.0015842,0.0015842,0.0015842
